collaborator,role,frequency,total,node_key,career_total,artist_cluster,found_as_producer,found_as_artist,cluster,name,is_dual_role,angle,distance,color,base_angle,base_distance,cluster_size,cluster_idx,global_count,global_idx,cluster_dist,cluster_angle_rad,cluster_cx,cluster_cy,cluster_local_angle,cluster_local_radius,cluster_x,cluster_y,global_angle,global_radius,dist_x,dist_y,x,y,node_size,img_radius,image_url,is_searching,search_match,label_opacity,label_visibility
"Sean Momberger","producer","low","1","Sean Momberger|producer","1","","Sean Momberger","","Producer","Sean Momberger","false","120","328","#7a6a8a","120","328","134","134","247","227","328","2.0943951023931953","436.0000000000001","784.0563324412959","319.2","231.51673805580452","510.65894134888777","564.9078839488109","542.4","450","394.09075524928534","900.1267085889048","394.09075524928534","900.1267085889048","6","3.389830508474576","images/Sean%20Momberger.webp","false","false","0.4","0"
"Dilip","producer","low","3","Dilip|producer","3","","Dilip","","Producer","Dilip","false","120","328","#7a6a8a","120","328","53","53","51","51","328","2.0943951023931953","436.0000000000001","784.0563324412959","124.8","145.60219778561037","530.5867287944532","673.3614782882478","120","380","909.3887688000934","720.6322500006794","909.3887688000934","720.6322500006794","9.47300783992378","5.351981830465412","images/Dilip.webp","false","false","0.4","0"
"Otxhello","producer","low","1","Otxhello|producer","1","","Otxhello","","Producer","Otxhello","false","120","328","#7a6a8a","120","328","117","117","247","228","328","2.0943951023931953","436.0000000000001","784.0563324412959","278.4","216.33307652783938","357.9622331974325","985.823790056413","544.8","450","481.56532384408615","65.86496630213799","481.56532384408615","65.86496630213799","6","3.389830508474576","images/Otxhello.webp","false","false","0.4","0"
"SoFaygo","artist","low","1","SoFaygo|artist","1","Cactus Jack","","SoFaygo","Cactus Jack","SoFaygo","false","96","231","#8a6a4a","96","231","4","4","247","229","231","1.6755160819145563","575.8539249851721","729.7345578300711","7.199999999999999","64","614.7884091152364","780.529301116417","547.1999999999999","450","980.5752165497779","740.1301825012625","980.5752165497779","740.1301825012625","6","3.389830508474576","images/SoFaygo.webp","false","false","0.4","0"
"Blake$ale","producer","low","1","Blake$ale|producer","1","","Blake$ale","","Producer","Blake$ale","false","120","328","#7a6a8a","120","328","25","25","247","230","328","2.0943951023931953","436.0000000000001","784.0563324412959","57.599999999999994","100","485.6414994762575","870.8648661793377","549.6","450","157.1671302068068","579.9940587214123","157.1671302068068","579.9940587214123","6","3.389830508474576","images/Blake$ale.webp","false","false","0.4","0"
"prodluke","producer","low","1","prodluke|producer","1","","prodluke","","Producer","prodluke","false","120","328","#7a6a8a","120","328","175","175","247","231","328","2.0943951023931953","436.0000000000001","784.0563324412959","417.59999999999997","264.575131106459","178.5024676988088","844.8430156769925","552","450","872.5091338914265","141.89558513508297","872.5091338914265","141.89558513508297","6","3.389830508474576","images/prodluke.webp","false","false","0.4","0"
"AM","producer","low","1","AM|producer","1","","AM","","Producer","AM","false","120","328","#7a6a8a","120","328","8","8","247","232","328","2.0943951023931953","436.0000000000001","784.0563324412959","16.8","73.53910524340095","402.1221088769746","718.7854469481724","554.4","450","640.9398242749502","948.1338313365062","640.9398242749502","948.1338313365062","6","3.389830508474576","images/AM.webp","false","false","0.4","0"
"F1LTHY","producer","low","1","F1LTHY|producer","1","","F1LTHY","","Producer","F1LTHY","false","120","328","#7a6a8a","120","328","64","64","247","233","328","2.0943951023931953","436.0000000000001","784.0563324412959","151.2","160","583.1474761764149","846.8864228034103","556.8","450","267.11332783715244","197.20227296701046","267.11332783715244","197.20227296701046","6","3.389830508474576","images/F1LTHY.webp","false","false","0.4","0"
"Glasear","producer","low","1","Glasear|producer","1","","Glasear","","Producer","Glasear","false","120","328","#7a6a8a","120","328","73","73","247","234","328","2.0943951023931953","436.0000000000001","784.0563324412959","172.79999999999998","170.88007490635061","265.1330707736847","781.9367813639834","559.1999999999999","450","1049.997255805685","498.42845065208445","1049.997255805685","498.42845065208445","6","3.389830508474576","images/Glasear.webp","false","false","0.4","0"
"SahBabii","artist","low","1","SahBabii|artist","1","Trap","","SahBabii","Trap","SahBabii","false","72","258","#c4a05c","72","258","16","16","247","235","258","1.2566370614359172","679.7263845487364","745.3725812041496","36","80","669.4892893785441","666.0302729287004","561.6","450","269.23637527899007","805.1154282585836","269.23637527899007","805.1154282585836","6","3.389830508474576","images/SahBabii.webp","false","false","0.4","0"
